"Name","Unique_ID__c","Entity__r.Unique_ID__c","Field_Name__c","Order__c","Type__c"
"FLD00001449","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_ID","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_TARGET","ID","1.0","String"
"FLD00001450","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_NAME","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_TARGET","NAME","2.0","String"
"FLD00001451","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_CONTRACT_CATEGORY__C","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_TARGET","CONTRACT_CATEGORY__C","3.0","String"
"FLD00001452","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_CONTRACT_NAME__C","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_TARGET","CONTRACT_NAME__C","4.0","String"
"FLD00001453","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_DEAL_STATUS__C","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_TARGET","DEAL_STATUS__C","5.0","String"
"FLD00001454","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_INITIAL_CONTACT_COMMENTS__C","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_TARGET","INITIAL_CONTACT_COMMENTS__C","7.0","String"
"FLD00001455","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_NEGOTIATION_TEAM__C","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_TARGET","NEGOTIATION_TEAM__C","8.0","String"
"FLD00001456","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_CONTRACT_MANAGER__C","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_TARGET","CONTRACT_MANAGER__C","9.0","String"
"FLD00001457","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_CAS_COMMENTS__C","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_TARGET","CAS_COMMENTS__C","10.0","String"
"FLD00001458","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_LEGAL_SRC__C","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_TARGET","LEGAL_SRC__C","11.0","String"
"FLD00001459","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_FINANCE_SRC__C","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_TARGET","FINANCE_SRC__C","12.0","String"
"FLD00001460","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_TAX_SRC__C","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_TARGET","TAX_SRC__C","13.0","String"
"FLD00001461","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_CAS_DATE__C","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_TARGET","CAS_DATE__C","14.0","Date"
"FLD00001462","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_PLANNED_NEGOT_START_DATE__C","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_TARGET","PLANNED_NEGOT_START_DATE__C","15.0","Date"
